link,product_name,keyword,province,star_review,amount_rating,amount_sold,product_list,original_price,discount_price,per_discount,store,recom_or_official,itemId,shopid
www.lazada.co.th/products/12-nara-modelling-clay-twins-60-2-i4960373845.html,[ 12 ชิ้นราคาพิเศษ ] NARA Modelling Clay TWINS ดินน้ำมันไร้สารพิษ ขนาด 60 กรัม พร้อมแม่พิมพ์รูปสัตว์คละเเบบ 2 ชิ้น,ดินน้ำมัน,กรุงเทพมหานคร,5.0,21,67,,0,99,0,NARA Global,,4960373845,9853
www.lazada.co.th/products/1-24-i464326085.html,ดินน้ำมัน เอนกประสงค์ 1 แพ็ค มี 24 ก้อน​  ดินน้ำมัน คุณภาพดี ไม่ติดมือ ดินน้ำมันก้อนใหญ่,ดินน้ำมัน,เชียงใหม่,5.0,4,36,,450,129,28.0,Jiraphan Hardware,,464326085,6943
www.lazada.co.th/products/36-i4699622201.html,ของเล่นดินเบา 36 สี ดินน้ำมันไร้สารเคมี พร้อมอุปกรณ์สำหรับปั้น สีสดใส ปลอดภัยไร้สารพิษ ไม่มีกลิ่นเหม็น,ดินน้ำมัน,กรุงเทพมหานคร,5.0,132,518,,89,59,66.0,my​ toy​s​ store,,4699622201,4319502
www.lazada.co.th/products/-i4877228256.html,ดินน้ำมันอย่างดี มีกลิ่นหอม,ดินน้ำมัน,ลพบุรี,0.0,0,0,,0,15,0,Lovegiftsshop,,4877228256,185968
www.lazada.co.th/products/12-i5106156220.html,ดินเบา 12 สี แป้งโดว์ ดินน้ำมัน ฟรี!!อุปกรณ์ปั้น ดินเบาเกาหลี ของเล่นเด็ก แฮนด์เมด,ดินน้ำมัน,สมุทรสาคร,5.0,3,23,,24,20,83.0,Meilin Shop08,,5106156220,2572549
www.lazada.co.th/products/fuji-150-i4128698591.html,ดินน้ำมันอย่างดี ไร้สารพิษ ดินปั้น ยี่ห้อฟูจิ Fuji มีกลิ่นหอม 150 กรัม/ก้อน,ดินน้ำมัน,สงขลา,5.0,11,322,,0,10,0,Siamnakarin Online,,4128698591,2039376
www.lazada.co.th/products/childrens-plasticine2436-i5285702074.html,ดินน้ำมันไร้สารพิษ ดินน้ำมันสำหรับเด็ก ดินน้ำมันแป้งโดว์ children's Plasticine24/36 สี ไม่จางหาย ฟรีชุดสามชิ้นตัดดินเผา,ดินน้ำมัน,กรุงเทพมหานคร,5.0,8,23,,58,29,50.0,Do As You Wish,,5285702074,2816809
www.lazada.co.th/products/12-24-36-i5240492575.html,"❗ถูกที่สุด❗ดินเบาเกาหลี มี โคลนอวกาศ ดินเบาพิเศษ ดินน้ำมันสี ดินเบาเสริมสร้า จินตนาการ 12, 24 และ 36 สี ดินลูกเจี๊ยบสำหรับเด็ก ปั้นโมเดล ของเล่นเสริมพัฒนาการ ปลอดสารพิษ การผลิตด้วยมือของเด็ก",ดินน้ำมัน,อ่างทอง,4.9,39,165,,95,38,40.0,Goodthing1.Selection,,5240492575,4869337
www.lazada.co.th/products/5-i1910414064.html,ดินน้ำมันสิงโต ดินเนื้อละเอียด สำหรับงานปั้นขึ้นต้นแบบ ขนาด 5 กิโลกรัม,ดินน้ำมัน,กรุงเทพมหานคร,5.0,310,0,,0,379,0,RUNGART,,1910414064,217565
www.lazada.co.th/products/-i5070346067.html,ดินเบา หลากสี ดินน้ำมันสำหรับเด็ก สีสดใส ไร้สารเคมี เสริมสร้างพัฒนาการให้สำหรับเด็ก,ดินน้ำมัน,สมุทรสาคร,5.0,1,0,,0,29,0,YU_THAILAND,,5070346067,4075762
